Disease	Code
Malignant Glandular Neoplasm of Peripheral Nerve Sheath	C6560
Malignant Glandular Neoplasm of the Peripheral Nerve Sheath	C6560
Glandular MPNST	C6560
Malignant Glandular Tumor of Peripheral Nerve Sheath	C6560
Esophageal Malignant Peripheral Nerve Sheath Tumor	C92185
Malignant Esophageal Peripheral Nerve Sheath Tumor	C92185
Penile Malignant Peripheral Nerve Sheath Tumor	C162584
Childhood Malignant Tumor of the Peripheral Nerve Sheath	C8094
Pediatric Malignant Neoplasm of Peripheral Nerve Sheath	C8094
Childhood Malignant Neoplasm of the Peripheral Nerve Sheath	C8094
Childhood Neurofibrosarcoma	C8094
Pediatric Malignant Peripheral Nerve Sheath Tumor	C8094
Pediatric MPNST	C8094
Malignant Peripheral Nerve Sheath Tumor	C8094
Pediatric Malignant Neurilemmoma	C8094
Pediatric Malignant Tumor of Peripheral Nerve Sheath	C8094
Childhood Malignant Neoplasm of Peripheral Nerve Sheath	C8094
Pediatric Malignant Neoplasm of the Peripheral Nerve Sheath	C8094
Childhood Malignant Tumor of Peripheral Nerve Sheath	C8094
Pediatric Malignant Peripheral Nerve Sheath Neoplasm	C8094
Childhood Neurogenic Sarcoma	C8094
Childhood MPNST	C8094
Pediatric Malignant Schwannoma	C8094
Pediatric Malignant Tumor of the Peripheral Nerve Sheath	C8094
Childhood Malignant Peripheral Nerve Sheath Tumor	C8094
Childhood Malignant Neurilemmoma	C8094
Childhood Malignant Schwannoma	C8094
Childhood Malignant Peripheral Nerve Sheath Neoplasm	C8094
Malignant Peripheral Nerve Sheath Neoplasm of the Heart	C5367
Malignant Cardiac Peripheral Nerve Sheath Neoplasm	C5367
Malignant Heart Schwannoma	C5367
Malignant Peripheral Nerve Sheath Tumor of the Heart	C5367
Malignant Schwannoma of the Heart	C5367
MPNST of the Heart	C5367
Malignant Peripheral Nerve Sheath Neoplasm of Heart	C5367
Heart MPNST	C5367
Malignant Peripheral Nerve Sheath Tumor of Heart	C5367
Malignant Heart Peripheral Nerve Sheath Neoplasm	C5367
Cardiac MPNST	C5367
Malignant Neurilemmoma of Heart	C5367
Cardiac Malignant Peripheral Nerve Sheath Tumor	C5367
CARDIAC SCHWANNOMA, MALIGNANT	C5367
Malignant Cardiac Neurilemmoma	C5367
Malignant Cardiac Peripheral Nerve Sheath Tumor	C5367
Malignant Heart Neurilemmoma	C5367
Heart Malignant Peripheral Nerve Sheath Tumor	C5367
Malignant Cardiac Schwannoma	C5367
MPNST of Heart	C5367
Malignant Neurilemmoma of the Heart	C5367
Malignant Heart Peripheral Nerve Sheath Tumor	C5367
Malignant Schwannoma of Heart	C5367
Primary Retroperitoneal Malignant Peripheral Nerve Sheath Tumor	C188073
Retroperitoneal Malignant Peripheral Nerve Sheath Tumor	C188073
Low Grade Malignant Peripheral Nerve Sheath Tumor	C9026
Low-Grade Malignant Peripheral Nerve Sheath Tumor	C9026
Well Differentiated Malignant Peripheral Nerve Sheath Tumor	C9026
Endolymphatic Stromal Myosis	C4263
Low Grade Endometrioid Stromal Sarcoma	C4263
Endolymphatic stromal myosis	C4263
Low Grade Sarcoma of Paranasal Sinus	C6851
Low Grade Sarcoma of the Accessory Sinus	C6851
Low Grade Paranasal Sinus Sarcoma	C6851
Low Grade Sarcoma of Accessory Sinus	C6851
Low Grade Accessory Sinus Sarcoma	C6851
Low Grade Sarcoma of the Paranasal Sinus	C6851
Low-Grade Osteosarcoma	C197815
Low Grade Osteosarcoma	C197815
Bone Angioendothelial Sarcoma	C6479
Bone Angiosarcoma	C6479
Osseous Angioendothelial Sarcoma	C6479
Osseous Angiosarcoma	C6479
Bone Hemangioendothelial Sarcoma	C6479
Osseous Hemangiosarcoma	C6479
Bone Hemangiosarcoma	C6479
Liposarcoma of Bone	C7598
Bone Liposarcoma	C7598
Liposarcoma of the Bone	C7598
Leiomyosarcoma of Bone	C7154
Bone Leiomyosarcoma	C7154
Undifferentiated high-grade pleomorphic sarcoma	C8563
Undifferentiated High Grade Pleomorphic Sarcoma of Bone	C8563
Malignant Fibrous Histiocytoma of the Bone	C8563
Malignant Bone Fibrous Histiocytoma	C8563
Undifferentiated High-Grade Pleomorphic Sarcoma	C8563
Malignant Fibrous Histiocytoma of Bone	C8563
Malignant fibrous histiocytoma (MFH) of bone	C8563
Undifferentiated High Grade Pleomorphic Sarcoma	C8563
Dedifferentiated Chondrosarcoma	C6476
Dedifferentiated chondrosarcoma	C6476
Mesenchymal Chondrosarcoma of the Bone	C53493
Mesenchymal Chondrosarcoma of Bone	C53493
Periosteal Chondrosarcoma	C7357
Periosteal chondrosarcoma	C7357
Juxtacortical Chondrosarcoma	C7357
Juxtacortical chondrosarcoma	C7357
Unresectable Bone Sarcoma	C153072
Primary Central Chondrosarcoma	C7155
OSTEOCHONDROSARCOMA, MALIGNANT	C7155
Primary Chondrosarcoma of the Bone	C7155
Primary Chondrosarcoma	C7155
Primary Chondrosarcoma of Bone	C7155
Primary Bone Chondrosarcoma	C7155
Fibrosarcoma of the Bone	C6604
Fibrosarcoma of Bone	C6604
Bone Fibrosarcoma	C6604
Clear cell chondrosarcoma	C6475
Clear Cell Chondrosarcoma	C6475
Ewing Sarcoma of Bone	C4835
Ewing's Sarcoma, Osseous	C4835
Bone Ewing's Sarcoma	C4835
Osseous Ewing's Tumor	C4835
Osseous Ewing's Sarcoma	C4835
Ewing's Sarcoma of Bone	C4835
Skeletal Ewing's Tumor	C4835
Skeletal Ewing's Sarcoma	C4835
Bone Malignant Peripheral Nerve Sheath Tumor	C188064
Malignant Peripheral Nerve Sheath Tumor of Bone	C188064
Maxillofacial Sarcoma	C173841
Giant Cell Sarcoma of the Bone	C4304
Giant cell tumor of bone, malignant	C4304
Giant Cell Sarcoma of Bone	C4304
Malignancy in Giant Cell Tumor of the Bone	C4304
Malignant Giant Cell Tumor of Bone	C4304
Giant Cell Bone Sarcoma	C4304
Giant cell sarcoma of bone	C4304
Malignancy in Giant Cell Tumor of Bone	C4304
OSTEOCLASTOMA, MALIGNANT	C4304
Dedifferentiated Giant Cell Tumor	C4304
Osteosarcoma of Bone	C53707
Bone Osteosarcoma	C53707
Bone Sarcoma by AJCC v7 Stage	C136632
Childhood Bone Sarcoma	C189017
Pediatric Bone Sarcoma	C189017
Metastatic Bone Sarcoma	C153073
Bone Angioendothelial Sarcoma	C6479
Bone Angiosarcoma	C6479
Osseous Angioendothelial Sarcoma	C6479
Osseous Angiosarcoma	C6479
Bone Hemangioendothelial Sarcoma	C6479
Osseous Hemangiosarcoma	C6479
Bone Hemangiosarcoma	C6479
Radiation-Induced Angiosarcoma	C27513
Radiation-Related Angiosarcoma	C27513
Conventional Angiosarcoma	C9426
Soft Tissue Angiosarcoma	C121671
Angiosarcoma of Soft Tissue	C121671
Childhood Hemangiosarcoma	C9174
Childhood Angiosarcoma	C9174
Pediatric Hemangiosarcoma	C9174
Pediatric Angiosarcoma	C9174
Angiosarcoma	C9174
Angiosarcoma Associated with Lymphedema	C27512
Adult Angiosarcoma	C9040
Adult Hemangiosarcoma	C9040
Angiosarcoma	C9040
Metastatic Hemangiosarcoma	C8708
Metastatic Angiosarcoma	C8708
Unresectable Angiosarcoma	C168718
Refractory Angiosarcoma	C193455
Poorly Differentiated Angiosarcoma	C9031
Conjunctival Angiosarcoma	C175499
Non-Metastatic Angiosarcoma	C9275
Localized Angiosarcoma	C9275
Angiosarcoma Nonmetastatic	C9275
Non-Metastatic Hemangiosarcoma	C9275
Relapsed Hemangiosarcoma	C5384
Recurrent Angiosarcoma	C5384
Recurrent Hemangiosarcoma	C5384
Relapsed Angiosarcoma	C5384
High Grade Accessory Sinus Sarcoma	C6850
High Grade Sarcoma of the Paranasal Sinus	C6850
High Grade Paranasal Sinus Sarcoma	C6850
High Grade Sarcoma of the Accessory Sinus	C6850
High Grade Sarcoma of Paranasal Sinus	C6850
High Grade Sarcoma of Accessory Sinus	C6850
Undifferentiated Stromal Sarcoma	C53994
High-Grade Osteosarcoma	C197813
High Grade Osteosarcoma	C197813
Metastatic High Grade Sarcoma	C168667
Metastatic High-Grade Sarcoma	C168667
Poorly Differentiated Malignant Peripheral Nerve Sheath Tumor	C9030
High Grade Malignant Peripheral Nerve Sheath Tumor	C9030
High-Grade Malignant Peripheral Nerve Sheath Tumor	C9030
High-Grade Chondrosarcoma	C121871
High Grade Chondrosarcoma	C121871
Grade III Chondrosarcoma	C121871
Chondrosarcoma, Grade 3	C121871
Chondrosarcoma, Metastatic	C8779
Metastatic Chondrosarcoma	C8779
Mesenchymal chondrosarcoma	C3737
Mesenchymal Chondrosarcoma	C3737
Synovial Chondrosarcoma	C176467
SCH	C176467
Grade II Chondrosarcoma	C121870
Intermediate Grade Chondrosarcoma	C121870
Intermediate-Grade Chondrosarcoma	C121870
Chondrosarcoma, Grade 2	C121870
Periosteal Chondrosarcoma	C7357
Periosteal chondrosarcoma	C7357
Juxtacortical Chondrosarcoma	C7357
Juxtacortical chondrosarcoma	C7357
Primary Central Chondrosarcoma	C7155
OSTEOCHONDROSARCOMA, MALIGNANT	C7155
Primary Chondrosarcoma of the Bone	C7155
Primary Chondrosarcoma	C7155
Primary Chondrosarcoma of Bone	C7155
Primary Bone Chondrosarcoma	C7155
Recurrent Chondrosarcoma	C8780
Relapsed Chondrosarcoma	C8780
Chondrosarcoma, Recurrent	C8780
Localized Chondrosarcoma	C8778
Chondrosarcoma, Localized	C8778
Maxillofacial Chondrosarcoma	C173842
Clear cell chondrosarcoma	C6475
Clear Cell Chondrosarcoma	C6475
Dedifferentiated Chondrosarcoma	C6476
Dedifferentiated chondrosarcoma	C6476
Laryngeal Chondrosarcoma	C173407
ACT/CS1	C9027
Atypical Cartilaginous Tumor/Grade I Chondrosarcoma	C9027
Atypical Cartilaginous Tumor/Chondrosarcoma, Grade 1	C9027
Pediatric Chondrosarcoma	C189027
Childhood Chondrosarcoma	C189027
Cardiac Rhabdomyosarcoma	C45759
Heart Rhabdomyosarcoma	C45759
Bladder Rhabdomyosarcoma	C159667
Rhabdomyosarcoma of Mediastinum	C6617
Rhabdomyosarcoma of the Mediastinum	C6617
Mediastinal Rhabdomyosarcoma	C6617
Alveolar rhabdomyosarcoma	C3749
ARMS	C3749
alveolar rhabdomyosarcoma	C3749
Monomorphous Round Cell Rhabdomyosarcoma	C3749
Alveolar Rhabdomyosarcoma	C3749
Paratesticular Rhabdomyosarcoma	C162497
Rhabdomyosarcoma Recurrent	C8824
Relapsed Rhabdomyosarcoma	C8824
Recurrent Rhabdomyosarcoma	C8824
Spindle Cell/Sclerosing Rhabdomyosarcoma	C121654
Abdominal Rhabdomyosarcoma	C151982
Refractory Rhabdomyosarcoma	C142851
Pelvic Rhabdomyosarcoma	C151981
Fusion-Negative Rhabdomyosarcoma	C123736
Fusion-Positive Rhabdomyosarcoma	C123735
Metastatic Rhabdomyosarcoma	C166414
Childhood Rhabdomyosarcoma	C7705
Pediatric Rhabdomyosarcoma	C7705
Rhabdomyosarcoma	C7705
Mixed Alveolar Rhabdomyosarcoma	C4259
Rhabdomyosarcoma with Mixed Embryonal and Alveolar Features	C4259
Mixed Type Alveolar Rhabdomyosarcoma	C4259
Rhabdomyosarcoma with TFCP2 Rearrangement	C202263
Epithelioid/Spindle Cell Rhabdomyosarcoma	C202263
TFCP2-RMS	C202263
Epithelioid/Spindle Cell Rhabdomyosarcoma with TFCP2 Rearrangement	C202263
Cervical Rhabdomyosarcoma	C128048
Rhabdomyosarcoma of Testis	C6378
Testicular Rhabdomyosarcoma	C6378
Rhabdomyosarcoma of the Testis	C6378
Conjunctival Rhabdomyosarcoma	C175501
Pleomorphic rhabdomyosarcoma, NOS	C4258
Pleomorphic Rhabdomyosarcoma	C4258
Rhabdomyosarcoma	C9130
Adult Rhabdomyosarcoma	C9130
Vulvar Rhabdomyosarcoma	C181944
Rhabdomyosarcoma of Prostate	C5522
Prostate Rhabdomyosarcoma	C5522
Rhabdomyosarcoma of the Prostate	C5522
Pulmonary Rhabdomyosarcoma	C181201
Lung Rhabdomyosarcoma	C181201
Rhabdomyosarcoma of the Central Nervous System	C5464
CNS Rhabdomyosarcoma	C5464
Rhabdomyosarcoma of CNS	C5464
Rhabdomyosarcoma of Central Nervous System	C5464
Rhabdomyosarcoma of the CNS	C5464
Central Nervous System Rhabdomyosarcoma	C5464
Rhabdomyosarcoma of Ovary	C5236
Ovarian Rhabdomyosarcoma	C5236
Rhabdomyosarcoma of the Ovary	C5236
Vaginal Rhabdomyosarcoma	C128080
Penile Rhabdomyosarcoma	C162588
Unresectable Rhabdomyosarcoma	C151983
Retroperitoneal Rhabdomyosarcoma	C188071
Primary Retroperitoneal Rhabdomyosarcoma	C188071
Uterine Corpus Rhabdomyosarcoma	C127058
Digestive System Rhabdomyosarcoma	C172952
Rhabdomyosarcoma of Breast	C5190
Breast Rhabdomyosarcoma	C5190
Rhabdomyosarcoma of the Breast	C5190
Embryonal Rhabdomyosarcoma	C8971
Embryonal rhabdomyosarcoma	C8971
embryonal rhabdomyosarcoma	C8971
ERMS	C8971
Kidney Rhabdomyosarcoma	C159206
Renal Rhabdomyosarcoma	C159206
Head and Neck Rhabdomyosarcoma	C202859
EWSR1-Negative Small Round Cell Tumor	C165671
EWSR1-Negative Small Cell Sarcoma	C165671
EWSR1-Negative Small Blue Round Cell Tumor	C165671
Mesenchymal chondrosarcoma	C3737
Mesenchymal Chondrosarcoma	C3737
Desmoplastic Small Round Cell Tumor	C8300
DSRCT	C8300
Desmoplastic small round cell tumor	C8300
Desmoplastic Small Round-Cell Neoplasm	C8300
Desmoplastic Small Round-Cell Tumor	C8300
Polyphenotypic Small Round Cell Tumor	C8300
Desmoplas. small round cell tumor	C8300
desmoplastic small round cell tumor	C8300
Sarcoma with BCOR Genetic Alterations	C178465
Small cell osteosarcoma	C4023
Small Cell Osteosarcoma	C4023
Small Cell Osteogenic Sarcoma	C4023
Uterine Corpus Central Primitive Neuroectodermal Tumor	C180546
Uterine Corpus cPNET	C180546
Round Cell Sarcoma with EWSR1::non-ETS Fusion	C178459
Ewing-Like Sarcoma	C178459
Round Cell Sarcoma with EWSR1-non-ETS Fusion	C178459
Osteosarcoma of Bone	C53707
Bone Osteosarcoma	C53707
Localized Osteosarcoma	C7780
Localized Osteogenic Sarcoma	C7780
Osteosarcoma, Localized	C7780
Metastatic Osteosarcoma	C7781
Metastatic Osteogenic Sarcoma	C7781
Osteosarcoma, Metastatic	C7781
Resectable Osteosarcoma	C162661
Unresectable Osteosarcoma	C132850
Relapsed Osteogenic Sarcoma	C7881
Osteosarcoma, Recurrent	C7881
Relapsed Osteosarcoma	C7881
Recurrent Osteogenic Sarcoma	C7881
Recurrent Osteosarcoma	C7881
Extraskeletal Osteogenic Sarcoma	C8810
Extraosseous Osteosarcoma	C8810
OSTEOSARCOMA, EXTRASKELETAL, MALIGNANT	C8810
Extraskeletal Osteosarcoma	C8810
Soft Tissue Osteosarcoma	C8810
Childhood Osteogenic Sarcoma	C6585
Childhood Osteosarcoma	C6585
Pediatric Osteosarcoma	C6585
Osteosarcoma	C6585
Refractory Osteosarcoma	C142857
Head and Neck Follicular Dendritic Cell Sarcoma	C173580
Conventional Follicular Dendritic Cell Sarcoma	C172846
Epstein-Barr Virus-Positive Inflammatory Follicular Dendritic Cell/Fibroblastic Reticular Cell Tumor	C172847
Epstein-Barr Virus Positive Inflammatory Follicular Dendritic Cell Sarcoma	C172847
IPT-Like FDCS	C172847
Epstein-Barr Virus Positive Inflammatory Follicular Dendritic Cell/Fibroblastic Reticular Cell Tumor	C172847
Inflammatory Pseudotumor-Like Follicular/Fibroblastic Dendritic Cell Sarcoma	C172847
Epstein-Barr Virus-Positive Inflammatory Follicular Dendritic Cell Sarcoma	C172847
EBV-Positive Inflammatory Follicular Dendritic Cell/Fibroblastic Reticular Cell Tumor	C172847
EBV-Positive Inflammatory Follicular Dendritic Cell Sarcoma	C172847
Follicular Dendritic Cell Sarcoma of the Mediastinum	C183374
Mediastinal Follicular Dendritic Cell Sarcoma	C183374
AJCC G2 Sarcoma	C9028
Moderately Differentiated Sarcoma	C9028
FNCLCC Sarcoma Grade 2	C9028
Sarcoma Grade 2	C9028
G2 Grade 2	C9028
Sarcoma G2	C9028
Sarcoma FNCLCC Grade 2	C9028
AJCC Grade 2 Sarcoma	C9028
AJCC Sarcoma GX	C203583
AJCC Sarcoma Grade X	C203583
FNCLCC Sarcoma Grade X	C203583
Sarcoma GX	C203583
Sarcoma Grade X	C203583
FNCLCC Sarcoma GX	C203583
AJCC Grade I Sarcoma	C9024
Well Differentiated Sarcoma	C9024
Sarcoma G1	C9024
Sarcoma Grade 1	C9024
Sarcoma FNCLCC Grade 1	C9024
AJCC G1 Sarcoma	C9024
FNCLCC Sarcoma Grade 1	C9024
AJCC Grade 1 Sarcoma	C9024
G1 Grade 1	C9024
FNCLCC Sarcoma Grade 3	C9029
Sarcoma FNCLCC Grade 3	C9029
Sarcoma Grade 3	C9029
AJCC G3 Sarcoma	C9029
AJCC Grade 3 Sarcoma	C9029
Sarcoma G3	C9029
G3 Grade 3	C9029
Recurrent Sarcoma of the Extremity	C155648
Recurrent Extremity Sarcoma	C155648
Advanced Extremity Sarcoma	C155649
Advanced Sarcoma of the Extremity	C155649
Metastatic MPNST	C8822
Metastatic Malignant Peripheral Nerve Sheath Tumor	C8822
Chondrosarcoma, Metastatic	C8779
Metastatic Chondrosarcoma	C8779
Locally Advanced Sarcoma	C153071
Metastatic Unresectable Sarcoma	C152074
Metastatic Osteosarcoma	C7781
Metastatic Osteogenic Sarcoma	C7781
Osteosarcoma, Metastatic	C7781
Metastatic Sarcoma in the Peritoneum	C179657
Ewing's Sarcoma, Metastatic	C7807
Metastatic Ewing Sarcoma	C7807
Metastatic Ewing's Sarcoma	C7807
Metastatic Liposarcoma	C8816
Liposarcoma Metastatic	C8816
Advanced Sarcoma	C153185
Metastatic Hemangiosarcoma	C8708
Metastatic Angiosarcoma	C8708
Leiomyosarcoma Metastatic	C8813
Metastatic Leiomyosarcoma	C8813
Metastatic High Grade Sarcoma	C168667
Metastatic High-Grade Sarcoma	C168667
Metastatic Bone Sarcoma	C153073
Metastatic Fibrosarcoma	C8812
Metastatic Soft Tissue Sarcoma	C153069
Pelvic Rhabdomyosarcoma	C151981
Undifferentiated High Grade Pleomorphic Sarcoma of the Pelvis	C151984
Pelvic Undifferentiated High Grade Pleomorphic Sarcoma	C151984
Undifferentiated Pelvic Pleomorphic Sarcoma	C151984
Extraosseous Ewing's Tumor	C7135
Extra-Osseous Ewing's Sarcoma	C7135
Extraosseous Ewing Sarcoma	C7135
Extraosseous Ewing's Sarcoma	C7135
Extraskeletal Ewing's Sarcoma	C7135
Extraskeletal Ewing Sarcoma	C7135
Extraskeletal Ewing sarcoma	C7135
EES	C7135
Childhood Ewing Sarcoma	C189002
Pediatric Ewing Sarcoma	C189002
Unresectable Ewing Sarcoma	C132849
Large Cell Ewing Tumor	C174456
Atypical Ewing Sarcoma	C174456
Large Cell Ewing Sarcoma	C174456
Refractory Ewing Sarcoma	C142853
Ewing's Sarcoma, Metastatic	C7807
Metastatic Ewing Sarcoma	C7807
Metastatic Ewing's Sarcoma	C7807
Ewing Sarcoma of Bone	C4835
Ewing's Sarcoma, Osseous	C4835
Bone Ewing's Sarcoma	C4835
Osseous Ewing's Tumor	C4835
Osseous Ewing's Sarcoma	C4835
Ewing's Sarcoma of Bone	C4835
Skeletal Ewing's Tumor	C4835
Skeletal Ewing's Sarcoma	C4835
Ewing's Sarcoma, Localized	C7806
Localized Ewing Sarcoma	C7806
Localized Ewing's Tumor	C7806
Localized Ewing's Sarcoma	C7806
Head and Neck Ewing Sarcoma	C202904
Recurrent Ewing Sarcoma	C7808
Relapsed Ewing's Sarcoma	C7808
Ewing's Sarcoma, Recurrent	C7808
Recurrent Ewing's Sarcoma	C7808
Liposarcoma of Bone	C7598
Bone Liposarcoma	C7598
Liposarcoma of the Bone	C7598
Renal Liposarcoma	C6185
Liposarcoma of Kidney	C6185
Kidney Liposarcoma	C6185
Liposarcoma of the Kidney	C6185
Liposarcoma	C7811
Adult Liposarcoma	C7811
Metastatic Liposarcoma	C8816
Liposarcoma Metastatic	C8816
Pleomorphic Myxoid Liposarcoma	C176989
Myxoid Pleomorphic Liposarcoma	C176989
MLPS	C27781
Myxoliposarcoma	C27781
Myxoid liposarcoma	C27781
Myxoid Liposarcoma	C27781
Myxoid/Round Cell Liposarcoma	C27781
Colon Liposarcoma	C156279
Liposarcoma	C8091
Pediatric Liposarcoma	C8091
Childhood Liposarcoma	C8091
Liposarcoma of the Breast	C5187
Breast Liposarcoma	C5187
Liposarcoma of Breast	C5187
Dedifferentiated liposarcoma	C3704
DDLPS	C3704
Dedifferentiated Liposarcoma	C3704
Liposarcoma Recurrent	C8818
Relapsed Liposarcoma	C8818
Recurrent Liposarcoma	C8818
Skin Liposarcoma	C5615
Liposarcoma of Skin	C5615
Liposarcoma of the Skin	C5615
Cutaneous Liposarcoma	C5615
Gastric Liposarcoma	C5488
Liposarcoma of Stomach	C5488
Stomach Liposarcoma	C5488
Liposarcoma of the Stomach	C5488
Paratesticular Liposarcoma	C162493
Vulvar Liposarcoma	C40321
Pleomorphic liposarcoma	C3705
Pleomorphic Liposarcoma	C3705
Liposarcoma of Mediastinum	C6614
Liposarcoma of the Mediastinum	C6614
Mediastinal Liposarcoma	C6614
Resectable Liposarcoma	C150606
Head and Neck Liposarcoma	C202611
Intracranial Liposarcoma	C6973
Brain Liposarcoma	C6973
Ovarian Liposarcoma	C6419
Liposarcoma of Ovary	C6419
Liposarcoma of the Ovary	C6419
Localized Liposarcoma	C8817
Liposarcoma Nonmetastatic	C8817
Non-Metastatic Liposarcoma	C8817
Mixed Liposarcoma	C4253
Mixed liposarcoma	C4253
Unresectable Liposarcoma	C132148
Liposarcoma of Esophagus	C5705
Esophageal Liposarcoma	C5705
Esophagus Liposarcoma	C5705
Liposarcoma of the Esophagus	C5705
Refractory Liposarcoma	C150594
Recurrent Spindle Cell Sarcoma	C158430
Intimal sarcoma	C53677
Intimal Sarcoma	C53677
Malignant Phosphaturic Mesenchymal Tumor	C121789
Phosphaturic mesenchymal tumor, malignant	C121789
BSNS	C164205
Low Grade Sinonasal Sarcoma with Neural and Myogenic Differentiation	C164205
Low-Grade Sinonasal Sarcoma with Neural and Myogenic Differentiation	C164205
Biphenotypic sinonasal sarcoma	C164205
Biphenotypic Sinonasal Sarcoma	C164205
Sinonasal Biphenotypic Sarcoma	C164205
Refractory Spindle Cell Sarcoma	C158431
Undifferentiated Spindle Cell Sarcoma	C121797
Undifferentiated spindle cell sarcoma	C121797
Advanced Malignant Genitourinary System Neoplasm	C176859
Metastatic Pediatric Malignant Kidney Neoplasm Excluding Renal Cell Carcinoma by Toronto Guidelines v2, Children's Oncology Group (COG) Protocol	C198088
Metastatic Childhood Malignant Kidney Neoplasm Excluding Renal Cell Carcinoma by Toronto Guidelines v2, Children's Oncology Group (COG) Protocol	C198088
Metastatic Genitourinary Carcinoma	C146893
Metastatic Genitourinary System Carcinoma	C146893
Metastatic Urogenital Carcinoma	C146893
Metastatic Genitourinary Cancer	C146893
Metastatic Malignant Female Reproductive System Neoplasm	C162254
Metastatic Pediatric Malignant Kidney Neoplasm Excluding Renal Cell Carcinoma by Toronto Guidelines v2, International Society of Pediatric Oncology (SIOP) Protocol	C198079
Metastatic Childhood Malignant Kidney Neoplasm Excluding Renal Cell Carcinoma by Toronto Guidelines v2, International Society of Pediatric Oncology (SIOP) Protocol	C198079
Malignant Sex Cord-Stromal Tumor	C67561
Sex Cord Stromal Tumor, Malignant	C67561
STROMAL TUMOR, GONADAL, MALIGNANT	C67561
Malignant neoplasm of male genital organ, unspecified	C8561
Malignant Neoplasm of Male Reproductive System	C8561
Male reproductive system cancer, NOS	C8561
Malignant Neoplasm of the Male Reproductive System	C8561
Malignant Male Reproductive System Tumor	C8561
Malignant Male Reproductive System Neoplasm	C8561
Malignant Tumor of the Male Reproductive System	C8561
Male reprod. system cancer, NOS	C8561
Malignant Tumor of Male Reproductive System	C8561
Secondary malignant neoplasm of genital organs	C192663
Metastatic Malignant Neoplasm in the Reproductive System	C192663
Female reprod. system cancer, NOS	C4913
Malignant Neoplasm of the Female Reproductive System	C4913
Malignant Gynecologic Neoplasm	C4913
Malignant Tumor of Female Reproductive System	C4913
Malignant Neoplasm of Female Reproductive System	C4913
Malignant Gynecologic Tumor	C4913
Malignant neoplasm of female genital organ, unspecified	C4913
Malignant Female Reproductive System Tumor	C4913
Female Reproductive Cancer	C4913
gynecologic cancer	C4913
Malignant Female Reproductive System Neoplasm	C4913
Gynecologic Cancer	C4913
Female reproductive system cancer, NOS	C4913
Malignant Tumor of the Female Reproductive System	C4913
Mucosal Melanoma of the Female Genital Tract	C178437
Penile Mucosal Melanoma	C178517
Mucosal Melanoma of the Urinary System	C178453
Secondary malignant neoplasm of genital organs	C192663
Metastatic Malignant Neoplasm in the Reproductive System	C192663
Secondary malignant neoplasm of unspecified urinary organs	C170943
Secondary malignant neoplasm of bladder and other urinary organs	C170943
Metastatic Malignant Neoplasm in the Urinary System	C170943
Female Reproductive System Carcinoma	C181162
Metastatic Genitourinary Carcinoma	C146893
Metastatic Genitourinary System Carcinoma	C146893
Metastatic Urogenital Carcinoma	C146893
Metastatic Genitourinary Cancer	C146893
Unresectable Genitourinary System Carcinoma	C190783
Urinary System Carcinoma	C181197
Male Reproductive System Carcinoma	C181196
Malignant Neoplasm of Kidney	C7548
Malignant Kidney Tumor	C7548
Malignant Renal Neoplasm	C7548
Malignant Tumor of the Kidney	C7548
Malignant Renal Tumor	C7548
Malignant Neoplasm of the Kidney	C7548
Malignant Kidney Neoplasm	C7548
Malignant Tumor of Kidney	C7548
Recurrent Malignant Urinary System Neoplasm	C150542
Secondary malignant neoplasm of unspecified urinary organs	C170943
Secondary malignant neoplasm of bladder and other urinary organs	C170943
Metastatic Malignant Neoplasm in the Urinary System	C170943
Malignant Urinary Tract Tumor	C192668
Malignant Urinary Tract Neoplasm	C192668
Mucosal Melanoma of the Urinary System	C178453
Urinary System Carcinoma	C181197
Advanced Malignant Thymoma	C159904
Microinvasive Anal Carcinoma	C167354
DCISM	C40374
MIC	C40374
Microinvasive Breast Carcinoma	C40374
Ductal Carcinoma In Situ with Microinvasion	C40374
Microinvasive Squamous Cell Carcinoma	C65178
Squamous cell carcinoma, microinvasive	C65178
Testicular Germ Cell Neoplasia In Situ with Extratubular Extension	C7326
Testicular Intratubular Germ Cell Neoplasia with Extratubular Extension	C7326
Pancreatic Invasive Mucinous Cystadenocarcinoma	C41246
Pancreatic Mucinous-Cystic Neoplasm with an Associated Invasive Carcinoma	C41246
Pancreatic Mucinous Cystic Neoplasm with an Associated Invasive Carcinoma	C41246
Follicular carcinoma, minimally invasive	C65200
FTC, Minimally Invasive	C65200
Thyroid Gland Follicular Carcinoma, Minimally Invasive	C65200
Infiltrating papillary adenocarcinoma	C7438
Invasive Papillary Adenocarcinoma	C7438
Infiltrating Papillary Adenocarcinoma	C7438
Infiltrating Transitional Cell Carcinoma of the Urinary Tract	C39853
Invasive Urothelial Carcinoma	C39853
Infiltrating Urothelial Carcinoma	C39853
Infiltrating Bladder Cancer	C150570
Invasive Bladder Carcinoma	C150570
Infiltrating Bladder Carcinoma	C150570
Thyroid Gland Follicular Carcinoma, Widely Invasive	C156123
FTC, Widely Invasive	C156123
Microinvasive Anal Carcinoma	C167354
Microinvasive Squamous Cell Carcinoma	C65178
Squamous cell carcinoma, microinvasive	C65178
Submucosal Invasive Colon Adenocarcinoma	C38760
Invasive Prostate Cancer	C48596
Invasive Prostate Carcinoma	C48596
Infiltrating Prostate Carcinoma	C48596
Invasive mucinous adenocarcinoma	C136709
