code,pref_name
C40455,Hereditary Fallopian Tube Carcinoma
C4812,Malignant Odontogenic Neoplasm
C66865,Parotid Gland Warthin Tumor
C66812,Retinocytoma
C6606,Mediastinal Sarcoma
C6645,Infantile Hemangioma
C7097,Mixed Epithelial and Mesenchymal Hepatoblastoma
C6906,Atypical Teratoid/Rhabdoid Tumor
C7135,Extraskeletal Ewing Sarcoma
C6963,Neuroblastic Tumor
C7321,Ovarian Mixed Germ Cell-Sex Cord-Stromal Tumor
C7400,Burkitt Leukemia
C7446,Anaplastic Brain Stem Glioma
C7715,Childhood Soft Tissue Sarcoma
C45545,Lung Epithelial-Myoepithelial Carcinoma
C45603,Lung Pleomorphic Adenoma
C46096,"Thyroid Gland Follicular Carcinoma, Clear Cell Variant"
C46111,Thyroid Gland Follicular Adenoma with Papillary Hyperplasia
C46122,Thyroid Gland Hyperfunctioning Adenoma
C4669,Bladder Sarcoma
C4904,Metastatic Malignant Neoplasm in the Lymph Nodes
C6311,Malignant Uterine Corpus Mixed Epithelial and Mesenchymal Neoplasm
C6347,Testicular Mixed Germ Cell Tumor
C8025,Malignant Mixed Tumor of the Salivary Gland
C80308,"Splenic B-Cell Lymphoma/Leukemia, Unclassifiable"
C8271,Mixed Astrocytoma-Ependymoma
C7808,Recurrent Ewing Sarcoma
C84269,Mastocytosis
C9303,Mastocytoma
C9284,Systemic Mastocytosis with an Associated Myeloid Neoplasm
C9285,Aggressive Systemic Mastocytosis
C9349,Plasmacytoma
C82217,Natural Killer Cell Lymphoblastic Leukemia/Lymphoma
C8094,Childhood Malignant Peripheral Nerve Sheath Tumor
C8779,Metastatic Chondrosarcoma
C8780,Recurrent Chondrosarcoma
C8642,Resectable Hepatoblastoma
C8814,Localized Leiomyosarcoma
C9010,Mixed Teratoma and Seminoma
C9031,Poorly Differentiated Angiosarcoma
C9024,Sarcoma G1
C9474,Adenosarcoma
C114833,Childhood Central Nervous System Embryonal Tumor
C121793,Undifferentiated Soft Tissue Sarcoma
C115225,Hereditary Neuroblastoma
C115368,Recurrent Childhood Undifferentiated High Grade Pleomorphic Sarcoma of Bone
C115431,Recurrent Grade II Lymphomatoid Granulomatosis
C118829,Hereditary Nonmedullary Thyroid Gland Carcinoma
C123904,Childhood Thyroid Gland Follicular Carcinoma
C129807,Central Nervous System Histiocytic Sarcoma
C129527,"Central Nervous System Solitary Fibrous Tumor, Grade 3"
C132147,Unresectable Leiomyosarcoma
C132148,Unresectable Liposarcoma
C134175,Recurrent Langerhans Cell Histiocytosis
C27500,Lymphadenopathic Kaposi Sarcoma
C27512,Angiosarcoma Associated with Lymphedema
C198186,Childhood Hepatoblastoma by Toronto Guidelines v2 Stage
C200524,Littoral Cell Angioma
C203583,Sarcoma GX
C202853,Head and Neck Leiomyosarcoma
C3242,Multiple Myeloma
C167179,BRCA-Associated Malignant Neoplasm
C168717,Unresectable Fibrosarcoma
C168667,Metastatic High Grade Sarcoma
C161641,Seminal Vesicle Leiomyosarcoma
C162595,Head and Neck Carcinoma of Unknown Primary
C163959,Metastatic Unresectable Pituitary Neuroendocrine Tumor
C162733,Refractory Malignant Myoepithelioma
C170960,Advanced Carcinoma Of Unknown Primary
C150594,Refractory Liposarcoma
C172951,Digestive System Leiomyosarcoma
C175498,Conjunctival Lymphangioma
C175500,Conjunctival Leiomyosarcoma
C174507,Metastatic Malignant Neoplasm in the Uvea
C174561,Ciliary Body Adenocarcinoma
C175274,Lacrimal Gland Myoepithelial Carcinoma
C175432,Conjunctival Non-Hodgkin Lymphoma
C181906,Benign Vulvar Phyllodes Tumor
C180546,Uterine Corpus Central Primitive Neuroectodermal Tumor
C178459,Round Cell Sarcoma with EWSR1-non-ETS Fusion
C178465,Sarcoma with BCOR Genetic Alterations
C179657,Metastatic Sarcoma in the Peritoneum
C188983,Childhood Rhabdomyoma
C189030,Childhood Giant Cell Tumor of Bone
C188254,Adrenal Gland Leiomyosarcoma
C187643,"Thyroid Gland Follicular Carcinoma, Signet Ring Cell Variant"
C189923,Epithelial Hepatoblastoma
C191963,Treatment-Related Prostate Neuroendocrine Carcinoma
C176711,Recurrent Lung Neuroendocrine Neoplasm
C153185,Advanced Sarcoma
C153325,Unresectable Chordoma
C153072,Unresectable Bone Sarcoma
C156123,"Thyroid Gland Follicular Carcinoma, Widely Invasive"
C155304,Pituitary Gland Blastoma
C154496,Anaplastic Sarcoma of the Kidney
C139001,Refractory Soft Tissue Sarcoma
C158430,Recurrent Spindle Cell Sarcoma
C159670,Bladder Leiomyosarcoma
C39814,Classic Congenital Mesoblastic Nephroma
C40228,Malignant Mixed Epithelial and Mesenchymal Neoplasm of the Cervix
C40317,Vulvar Sarcoma
C40318,Vulvar Leiomyosarcoma
C4061,Eyelid Papilloma
C4049,Anaplastic Ependymoma
C4050,Oligoastrocytoma
C4356,Eyelid Seborrheic Keratosis
C4357,Eyelid Capillary Hemangioma
C43340,Eye Sebaceous Carcinoma
C4313,Ameloblastoma
C4553,Corneal Melanoma
C4554,Malignant Iris Neoplasm
C45163,Borrelia Burgdoferi-Associated Primary Cutaneous Marginal Zone Lymphoproliferative Disorder
C4503,Hereditary Breast Carcinoma
C4542,Lacrimal Gland Pleomorphic Adenoma
C4549,Conjunctival Squamous Cell Carcinoma
C4557,Ciliary Body Malignant Medulloepithelioma
C4818,Calcifying Aponeurotic Fibroma
C48873,Splenic Lymphoma
C46118,Thyroid Gland Lipoadenoma
C46099,Hereditary Thyroid Gland Medullary Carcinoma
C4860,Lung Sarcoma
C4766,Malignant Ciliary Body Neoplasm
C3400,Synovial Sarcoma
C37265,Malignant Mixed Epithelial and Stromal Tumor of the Kidney
C35700,Salivary Gland Myoepithelial Carcinoma
C5060,Localized Fibrosarcoma
C5532,Benign Prostate Phyllodes Tumor
C6359,Testicular Sarcoma
C5384,Recurrent Angiosarcoma
C6094,Low Grade Corneal Squamous Intraepithelial Neoplasia
C5964,Metastatic Corticotroph Pituitary Neuroendocrine Tumor
C5965,Metastatic Thyrotroph Pituitary Neuroendocrine Tumor
C65200,"Thyroid Gland Follicular Carcinoma, Minimally Invasive"
C6531,Malignant Synovial Neoplasm
C7154,Bone Leiomyosarcoma
C7138,Solitary Mastocytoma of the Skin
C6999,Central Nervous System Leiomyosarcoma
C7007,Central Nervous System Hemangioblastoma
C6959,Anaplastic Oligoastrocytoma
C8300,Desmoplastic Small Round Cell Tumor
C6224,Conjunctival Squamous Papilloma
C6183,Kidney Leiomyosarcoma
C8100,Undifferentiated Carcinoma of Unknown Primary
C7731,Prostate Sarcoma
C7669,High Grade Corneal Squamous Intraepithelial Neoplasia
C7913,Ocular Melanoma with Extraocular Extension
C7881,Recurrent Osteosarcoma
C8566,Metastatic Malignant Neoplasm of Unknown Primary
C8495,Hereditary Retinoblastoma
C8816,Metastatic Liposarcoma
C8822,Metastatic Malignant Peripheral Nerve Sheath Tumor
C9174,Childhood Angiosarcoma
C9181,Recurrent Carcinoma of Unknown Primary
C9184,Primary Intraocular Non-Hodgkin Lymphoma
C9360,Lymphoblastic Lymphoma
C9477,Anaplastic Astrocytoma
C9426,Conventional Angiosarcoma
C96847,Extrarenal Rhabdoid Tumor of the Liver
C115195,Childhood Mixed Glioma
C118826,Childhood Malignant Small Intestinal Neoplasm
C118821,Childhood Malignant Penile Neoplasm
C121901,Benign Notochordal Cell Tumor
C123848,Childhood Mixed Germ Cell Tumor
C134154,Refractory Lymphoma
C134157,Recurrent Lymphoma
C138183,Recurrent Abdominal Neuroendocrine Neoplasm
C136707,Soft Tissue Sarcoma by AJCC v7 Stage
C140987,Thyroid Gland Follicular Carcinoma by AJCC v8 Stage
C146861,Mediastinal Mixed Germ Cell Tumor
C147098,Pericardial Sarcoma
C150678,Methotrexate-Associated Lymphoma
C156793,Metastatic Human Papillomavirus-Related Malignant Neoplasm
C157474,Recurrent Monomorphic Post-Transplant Lymphoproliferative Disorder
C153086,Resectable Soft Tissue Sarcoma
C155957,Thyroid Gland Spindle Cell Follicular Adenoma
C156099,Metastatic Thyroid Gland Follicular Carcinoma
C156103,Recurrent Blastic Plasmacytoid Dendritic Cell Neoplasm
C152074,Metastatic Unresectable Sarcoma
C158429,Refractory Fibrosarcoma
C162730,Recurrent Rhabdoid Tumor of the Kidney
C162488,Epididymal Melanotic Neuroectodermal Tumor
C162493,Paratesticular Liposarcoma
C165190,Soft Tissue Sarcoma of the Trunk and Extremities
C164312,Unresectable Malignant Peripheral Nerve Sheath Tumor
C200570,Progesterone Receptor-Positive Breast Carcinoma
C203310,Unresectable Primary Malignant Central Nervous System Neoplasm
C48607,Invasive Cutaneous Melanoma
C5234,Ovarian Leiomyosarcoma
C40227,Benign Cervical Mixed Epithelial and Mesenchymal Neoplasm
C40276,Malignant Vaginal Mixed Epithelial and Mesenchymal Neoplasm
C40128,Fallopian Tube Leiomyosarcoma
C3700,Epithelioid Leiomyosarcoma
C4039,Adenocarcinoma of Unknown Primary
C40408,Breast Pleomorphic Adenoma
C40409,Salivary Gland Pleomorphic Adenoma
C3942,Fibrous Hamartoma of Infancy
C5387,Leiomyosarcoma of Vessels
C176729,PALB2-Associated Malignant Neoplasm
C176467,Synovial Chondrosarcoma
C187261,Thyroid Gland Follicular Adenoma with Papillary Architecture
C186542,"Central Nervous System Embryonal Tumor, Not Elsewhere Classified"
C186556,Central Nervous System Tumor with BCOR Internal Tandem Duplication
C188881,Recurrent Extrarenal Rhabdoid Tumor
C190019,Liver Congenital Hemangioma
C173118,Sinonasal Sarcoma
C168723,Unresectable Epithelioid Hemangioendothelioma
C171294,Recurrent Ocular Melanoma
C171295,Metastatic Ocular Melanoma
C185041,Splenic Plasmacytoma
C4326,Anaplastic Oligodendroglioma
C4306,Benign Odontogenic Neoplasm
C4167,Adrenal Cortical Mixed Cell Adenoma
C3745,Clear Cell Sarcoma of Soft Tissue
C3714,Epithelioid Sarcoma
C38157,Metachronous Osteosarcoma
C3880,Eyelid Nevus
C46119,Thyroid Gland Clear Cell Follicular Adenoma
C4717,Anaplastic Ganglioglioma
C4579,Corneal Kaposi Sarcoma
C4552,Corneal Squamous Cell Carcinoma
C5669,Pleuropulmonary Blastoma
C27766,Parasite-Related Malignant Neoplasm
C27470,Disseminated Malignant Neoplasm
C27483,Lipoblastoma
C27513,Radiation-Related Angiosarcoma
C27918,Old Burn Scar-Related Skin Squamous Cell Carcinoma
C27919,Old Burn Scar-Related Cutaneous Melanoma
C175319,Malignant Lacrimal Drainage System Neoplasm
C175224,Visual Pathway Melanocytoma
C174571,Unresectable Thyroid Gland Follicular Carcinoma
C175259,Nasolacrimal Duct Neoplasm
C35933,Distantly Metastatic Malignant Neoplasm
C35871,Ewing Sarcoma/Peripheral Primitive Neuroectodermal Tumor of Bone
C35873,Iatrogenic Kaposi Sarcoma
C35759,Metastasizing Pleomorphic Adenoma of the Salivary Gland
C3580,Metastatic Malignant Neoplasm in the Bone
C36102,Hereditary Ovarian Carcinoma
C3401,"Tenosynovial Giant Cell Tumor, Diffuse Type"
C6758,"Malignant Central Nervous System Mesenchymal, Non-Meningothelial Neoplasm"
C6952,Anaplastic Kidney Wilms Tumor
C7016,Central Nervous System Mixed Germ Cell Tumor
C6565,Childhood Kidney Angiomyolipoma
C6605,Soft Tissue Fibrosarcoma
C6585,Childhood Osteosarcoma
C7237,Monomorphic B-Cell Post-Transplant Lymphoproliferative Disorder
C71303,Childhood Grade 3 Meningioma
C7541,Retinoblastoma
C8610,Metastatic Malignant Neoplasm in the Adrenal Gland
C8541,Splenic Hemangioma
C8524,Locally Advanced Malignant Neoplasm
C66807,Ciliary Body Benign Medulloepithelioma
C66810,Ciliary Body Teratoid Medulloepithelioma
C6339,Uterine Corpus Sarcoma
C6340,Uterine Corpus Leiomyosarcoma
C6253,Childhood Intracranial Meningioma
C7781,Metastatic Osteosarcoma
C7737,Vaginal Sarcoma
C7810,Adult Leiomyosarcoma
C8267,Ovarian Sarcoma
C8815,Recurrent Leiomyosarcoma
C8817,Localized Liposarcoma
C8713,Bilateral Retinoblastoma
C9428,Conventional Leiomyosarcoma
C9270,Advanced Malignant Neoplasm
C8984,Female Reproductive System Adenofibroma
C9040,Adult Angiosarcoma
C9029,Sarcoma G3
C97058,Mixed Congenital Mesoblastic Nephroma
C118815,Childhood Lung Small Cell Carcinoma
C121797,Undifferentiated Spindle Cell Sarcoma
C121738,Intermediate Soft Tissue Tumor of Uncertain Differentiation
C123903,Childhood Thyroid Gland Papillary Carcinoma
C123905,Childhood Thyroid Gland Medullary Carcinoma
C164314,Sporadic Malignant Peripheral Nerve Sheath Tumor
C164316,Radiation-Induced Malignant Peripheral Nerve Sheath Tumor
C166414,Metastatic Rhabdomyosarcoma
C172952,Digestive System Rhabdomyosarcoma
C173841,Maxillofacial Sarcoma
C176989,Myxoid Pleomorphic Liposarcoma
C175501,Conjunctival Rhabdomyosarcoma
C175939,Unresectable Abdominal Neuroendocrine Neoplasm
C181201,Lung Rhabdomyosarcoma
C181936,Vaginal Solitary Fibrous Tumor
C181940,Vaginal Smooth Muscle Tumor of Uncertain Malignant Potential
C181944,Vulvar Rhabdomyosarcoma
C185155,Extramedullary Disease in Multiple Myeloma Involving the Skin
C156486,Advanced Neuroendocrine Neoplasm
C156342,Benign Thyroid Gland Vascular Neoplasm
C156279,Colon Liposarcoma
C156070,Metastatic Adrenal Cortical Carcinoma
C154429,Non-Functioning Corticotroph Pituitary Neuroendocrine Tumor
C157246,Composite Paraganglioma
C142828,Lung Myoepithelial Tumor
C151982,Abdominal Rhabdomyosarcoma
C159679,Bladder Solitary Fibrous Tumor
C159223,Kidney Neuroendocrine Tumor
C159226,Kidney Paraganglioma
C161612,Prostate Paraganglioma
C161639,Seminal Vesicle Schwannoma
C162661,Resectable Osteosarcoma
C162502,Paratesticular Schwannoma
C162503,Paratesticular Hemangioma
C162494,Paratesticular Leiomyoma
C128270,Vulvar Lipoma
C128451,Cutaneous Neurofibroma
C137645,Cutaneous Melanoma by AJCC v8 Stage
C190074,Childhood Paraganglioma
C190279,Childhood Pilomatricoma
C188071,Retroperitoneal Rhabdomyosarcoma
C188113,Metastatic Squamous Cell Carcinoma in the Skin
C187994,Thyroid Gland Secretory Carcinoma
C28333,Non-Functioning Pancreatic Delta Cell Neuroendocrine Tumor
C35765,Histiocytoma
C36085,Invasive Breast Papillary Carcinoma
C3705,Pleomorphic Liposarcoma
C203968,Verruca Palmaris
C202878,Head and Neck Malignant Peripheral Nerve Sheath Tumor
C202904,Head and Neck Ewing Sarcoma
C202611,Head and Neck Liposarcoma
C3498,Ovarian Fibroma
C35259,Chondromatosis
C3467,Primary Cutaneous T-Cell Non-Hodgkin Lymphoma
C3296,Osteoma
C3804,Dermal Nevus
C3749,Alveolar Rhabdomyosarcoma
C3972,Prostate Fibroma
C4038,Lung Neuroendocrine Tumor
C40309,Vulvar Sebaceous Carcinoma
C40312,Vulvar Nodular Hidradenoma
C40334,Vulvar Dysplastic Melanocytic Nevus
C40217,Uterine Corpus Endometrial Stromal and Related Neoplasms
C40273,Vaginal Deep (Aggressive) Angiomyxoma
C40176,Uterine Corpus Smooth Muscle Neoplasm
C40180,Uterine Corpus PEComa
C4259,Rhabdomyosarcoma with Mixed Embryonal and Alveolar Features
C43310,Malignant Hair Follicle Neoplasm
C4271,Breast Intracanalicular Fibroadenoma
C4227,Balloon Cell Melanoma
C4163,Adrenal Cortical Compact Cell Adenoma
C4165,Adrenal Cortical Clear Cell Adenoma
C27393,Parathyroid Gland Oncocytic Adenoma
C26913,Verruca Plantaris
C27489,Atypical Spindle Cell/Pleomorphic Lipomatous Tumor
C27095,Nonpigmented Nevus
C45446,Vulvar Angiomyofibroblastoma
C5368,Cardiac Lymphoma
C5371,Malignant Cardiac Germ Cell Tumor
C4482,Skin Leiomyoma
C45264,Cutaneous Chronic Lymphocytic Leukemia
C45266,Cutaneous Mantle Cell Lymphoma
C5187,Breast Liposarcoma
C5229,Ovarian Neuroendocrine Tumor
C5214,Breast Adenocarcinoma
C53998,Benign Gastrointestinal Stromal Tumor
C5377,Malignant Inferior Vena Cava Neoplasm
C5488,Gastric Liposarcoma
C6430,Thymic Neuroendocrine Tumor
C6561,Epithelioid Malignant Peripheral Nerve Sheath Tumor
C6417,Recurrent Adrenal Cortical Carcinoma
C6389,Scrotal Carcinoma
C6899,Breast Adenomyoepithelioma
C6875,Large Cell Neuroendocrine Carcinoma
C7472,Anal Margin Carcinoma
C7576,Deep Penetrating Melanocytoma
C7811,Adult Liposarcoma
C7771,Recurrent Breast Carcinoma
C53493,Mesenchymal Chondrosarcoma of Bone
C45629,Lung Chondroma
C45630,Diffuse Pulmonary Lymphangiomatosis
C5324,Cauda Equina Neuroendocrine Tumor
C4607,Benign Myocardial Neoplasm
C4810,Malignant Sweat Gland Neoplasm
C7391,Intermediate Blood Vessel Neoplasm
C5184,Breast Angiosarcoma
C5170,Breast Neuroendocrine Tumor G1
C6178,Bladder Leiomyoma
C54660,Flexural Skin Nevus
C5583,Stage III Skin Cancer
C5916,Oral Cavity Sarcoma
C6477,Bone Hemangioma
C66845,Malignant Peripheral Nerve Sheath Tumor with Perineurial Differentiation
C6587,Benign Soft Tissue Tumor of Uncertain Differentiation
C6614,Mediastinal Liposarcoma
C7218,Cutaneous Follicular Lymphoma
C9245,Invasive Breast Carcinoma
C9027,"Atypical Cartilaginous Tumor/Chondrosarcoma, Grade 1"
C95599,Pancreatic Vipoma
C121926,Intermediate Bone Neoplasm
C121679,Functioning Pituitary Neuroendocrine Tumor/Microadenoma
C121721,Non-Functioning Pituitary Neuroendocrine Tumor/Macroadenoma
C121870,"Chondrosarcoma, Grade 2"
C123735,Fusion-Positive Rhabdomyosarcoma
C123736,Fusion-Negative Rhabdomyosarcoma
C129548,Central Nervous System Desmoid Fibromatosis
C139023,Primary Cutaneous Acral CD8-Positive T-Cell Lymphoproliferative Disorder
C136632,Bone Sarcoma by AJCC v7 Stage
C141098,Adrenal Cortical Carcinoma by AJCC v7 Stage
C128053,Benign Cervical Soft Tissue Neoplasm
C128079,Vaginal Superficial Myofibroblastoma
C128080,Vaginal Rhabdomyosarcoma
C133713,Locally Advanced Paraganglioma
C142783,Lung PEComa
C147007,Cardiac Teratoma
C147104,Malignant Pericardial Germ Cell Tumor
C181935,Vulvar Solitary Fibrous Tumor
C181942,Vulvar Rhabdomyoma
C183136,Pericardial Primary Effusion Lymphoma
C188229,Composite Gangliocytoma/Neuroma and Neuroendocrine Tumor
C188183,Adrenal Cortical High Grade Carcinoma
C188221,Cervical Neuroendocrine Tumor
C190066,Childhood Parathyroid Gland Adenoma
C190284,Childhood Benign Skin Melanocytic Nevus
C150606,Resectable Liposarcoma
C151981,Pelvic Rhabdomyosarcoma
C151983,Unresectable Rhabdomyosarcoma
C151984,Pelvic Undifferentiated High Grade Pleomorphic Sarcoma
C159206,Kidney Rhabdomyosarcoma
C158912,Prostate Neuroendocrine Carcinoma
C162461,Metastatic Thymic Neuroendocrine Neoplasm
C162501,Paratesticular Deep (Aggressive) Angiomyxoma
C161582,Prostate Granular Cell Tumor
C162582,Penile Glomus Tumor
C161579,Prostate Solitary Fibrous Tumor
C157602,Metastatic Lung Neuroendocrine Neoplasm
C159667,Bladder Rhabdomyosarcoma
C171033,Endometrial Neuroendocrine Carcinoma
C173385,Cutaneous Merkel Cell Carcinoma
C174456,Atypical Ewing Sarcoma
C172847,EBV-Positive Inflammatory Follicular Dendritic Cell/Fibroblastic Reticular Cell Tumor
C175611,Breast Neuroendocrine Tumor G2
C175950,Breast Florid Lobular Carcinoma In Situ
C176255,Breast Angiolipoma
C176045,Breast Cellular Fibroadenoma
C178426,NTRK-Rearranged Spindle Cell Neoplasm
C178607,Bone Langerhans Cell Histiocytosis
C197815,Low Grade Osteosarcoma
C3862,Male Breast Carcinoma
C27816,Pigmented Nevus
C27087,Verruca Vulgaris
C27438,Benign Gastric Soft Tissue Neoplasm
C43319,Benign Germinative Follicular Epithelium Neoplasm
C43321,Malignant Germinative Follicular Epithelium Neoplasm
C43323,Benign Pilar-Associated Mesenchyme Neoplasm
C4304,Malignancy in Giant Cell Tumor of Bone
C4317,Ameloblastic Fibrosarcoma
C4226,Balloon Cell Nevus
C4220,Metastatic Adrenal Gland Pheochromocytoma
C4255,Lipoblastomatosis
C4262,Endometrial Stromal Nodule
C4281,Pericardial Solitary Fibrous Tumor
C4190,Breast Papillary Ductal Carcinoma In Situ
C4164,Pigmented Adrenal Cortical Adenoma
C4748,Malignant Melanotic Peripheral Nerve Sheath Tumor
C4616,Skin Lipoma
C45241,Cutaneous B Lymphoblastic Leukemia/Lymphoma
C45834,Pancreatic Neuroendocrine Microtumor
C45838,Non-Functioning Pancreatic Neuroendocrine Tumor G2
C45841,Functioning Pancreatic Neuroendocrine Tumor G2
C45924,Null Cell Pituitary Neuroendocrine Tumor
C45759,Cardiac Rhabdomyosarcoma
C203344,Recurrent Breast Papillary Carcinoma
C202881,Head and Neck Extraskeletal Myxoid Chondrosarcoma
C202263,Rhabdomyosarcoma with TFCP2 Rearrangement
C3192,Lipoma
C3205,Lymphangiosarcoma
C3227,Multiple Endocrine Neoplasia Type 2B
C9044,Metastatic Parathyroid Gland Carcinoma
C90513,Breast Cancer by AJCC v6 Stage
C8824,Recurrent Rhabdomyosarcoma
C8778,Localized Chondrosarcoma
C9130,Adult Rhabdomyosarcoma
C4819,Skin Squamous Cell Carcinoma
C5200,Breast Papillary Ductal Hyperplasia
C5189,Breast Extraskeletal Osteosarcoma
C5194,Breast Complex Fibroadenoma
C66765,Fascial Fibrosarcoma
C6593,Benign Mediastinal Soft Tissue Neoplasm
C6581,Parachordoma
C6757,"Benign Central Nervous System Mesenchymal, Non-Meningothelial Neoplasm"
C68635,Adrenal Cortical Low Grade Carcinoma
C6973,Brain Liposarcoma
C7705,Childhood Rhabdomyosarcoma
C7598,Bone Liposarcoma
C82862,Meyerson Nevus
C8537,Benign Blood Vessel Neoplasm
C8535,Benign Epicardial Neoplasm
C7993,Parathyroid Gland Clear Cell Adenoma
C8436,Breast Atypical Ductal Hyperplasia
C8373,Lymphangiomatosis
C36086,Breast Flat Ductal Epithelial Atypia
C36089,Breast Atypical Papilloma
C3704,Dedifferentiated Liposarcoma
C3742,Myofibromatosis
C3775,Adnexal Carcinoma
C27944,Breast Sclerosing Papilloma
C28432,Nipple Carcinoma
C40326,Vulvar Leiomyoma
C40218,Cervical Endometrioid Stromal and Related Neoplasms
C40125,Fallopian Tube Adenosarcoma
C40178,Mixed Endometrial Stromal and Smooth Muscle Neoplasm
C39740,Lung Inflammatory Myofibroblastic Tumor
C40383,Breast Apocrine Adenoma
C40385,Breast Myoepitheliosis
C54659,Acral Nevus
C5380,Malignant Pulmonary Artery Neoplasm
C5522,Prostate Rhabdomyosarcoma
C5544,Prostate Leiomyoma
C5581,Stage I Skin Cancer
C5383,Malignant Pulmonary Vein Neoplasm
C5389,Benign Atrial Neoplasm
C54182,Columnar Cell Change of the Breast with Atypia
C7195,Primary Cutaneous CD30-Positive T-Cell Lymphoproliferative Disorder
C7153,Differentiated Thyroid Gland Carcinoma
C72074,Neuroendocrine Tumor G2
C4983,Aleukemic Leukemia Cutis
C5615,Skin Liposarcoma
C6185,Kidney Liposarcoma
C7602,Halo Nevus
C97076,Giant Cell Angioblastoma
C128240,Vulvar Hidradenoma Papilliferum
C126773,Uterine Corpus Neuroendocrine Tumor G1
C118819,Childhood Parathyroid Gland Carcinoma
C120454,Male Malignant Nipple Neoplasm
C120455,Female Malignant Nipple Neoplasm
C121678,Non-Functioning Pituitary Neuroendocrine Tumor/Microadenoma
C121842,Osteochondromyxoma
C138024,Refractory Breast Lymphoma
C137674,Occult Breast Carcinoma
C137839,Breast Pleomorphic Lobular Carcinoma In Situ
C140328,Advanced Non-Functioning Neuroendocrine Tumor
C147065,Metastatic Neuroendocrine Tumor
C157759,Bladder Neuroendocrine Carcinoma
C159673,Bladder PEComa
C159582,Bladder Neuroendocrine Tumor
C160852,Advanced Paraganglioma
C161638,Seminal Vesicle Leiomyoma
C161042,Prostate Inflammatory Myofibroblastic Tumor
C162583,Penile Leiomyoma
C165611,Recurrent Differentiated Thyroid Gland Carcinoma
C164313,NF1-Associated Malignant Peripheral Nerve Sheath Tumor
C167332,Locally Advanced Neuroendocrine Neoplasm
C170465,Resectable Skin Carcinoma
C173407,Laryngeal Chondrosarcoma
C172806,Unresectable Neuroendocrine Carcinoma
C191977,Extrapulmonary Neuroendocrine Carcinoma
C188181,Adrenal Cortical Oncocytic Carcinoma
C183374,Mediastinal Follicular Dendritic Cell Sarcoma
C186455,Metastatic Prostate Adenocarcinoma with Neuroendocrine Differentiation
C178518,Penile Cutaneous Melanoma
C178609,Bone Erdheim-Chester Disease
C179359,Ovarian Smooth Muscle Neoplasm
C27007,Spitz Nevus
C27127,Benign Skin Vascular Neoplasm
C202884,Head and Neck Synovial Sarcoma
C202901,Head and Neck Undifferentiated Pleomorphic Sarcoma
C3084,Hemangioendothelioma
C181926,Vulvar Prepubertal Fibroma
C39903,Prostate Adenocarcinoma with Neuroendocrine Differentiation
C40304,Malignant Vulvar Sweat Gland Neoplasm
C40269,Vaginal Endometrioid Stromal and Related Neoplasms
C40321,Vulvar Liposarcoma
C40325,Vulvar Angiomyxoma
C40363,Nipple Syringomatous Tumor
C4166,Adrenal Cortical Glomerulosa Cell Adenoma
C4258,Pleomorphic Rhabdomyosarcoma
C4219,Metastatic Extra-Adrenal Paraganglioma
C5392,Metastatic Cardiac Paraganglioma
C53994,Undifferentiated Stromal Sarcoma
C5379,Malignant Superior Vena Cava Neoplasm
C5582,Stage II Skin Cancer
C5584,Stage IV Skin Cancer
C6020,Laryngeal Sarcoma
C53706,Radiation-Related Osteosarcoma
C53707,Bone Osteosarcoma
C5357,Benign Cardiac Germ Cell Tumor
C5190,Breast Rhabdomyosarcoma
C5171,Metastatic Breast Neuroendocrine Tumor G1
C4272,Breast Pericanalicular Fibroadenoma
C45267,Cutaneous Lymphomatoid Granulomatosis
C45268,Cutaneous Nasal Type Extranodal NK/T-Cell Lymphoma
C45272,Cutaneous Adult T-Cell Leukemia/Lymphoma
C40384,Breast Ductal Adenoma
C40386,Breast Atypical Myoepitheliosis
C4495,Cockade Nevus
C4497,Desmoplastic Nevus
C5657,Lung Myolipoma
C5658,Lung Fibroma
C5705,Esophageal Liposarcoma
C48447,Adrenal Cortical Oncocytic Adenoma
C48449,Cortisol-Producing Adrenal Cortical Adenoma
C48452,Sex Hormone-Producing Adrenal Cortical Adenoma
C6617,Mediastinal Rhabdomyosarcoma
C7020,Central Nervous System Inflammatory Myofibroblastic Tumor
C6796,Eccrine Neoplasm
C68644,Adrenal Cortical Sarcomatoid Carcinoma
C7155,Primary Central Chondrosarcoma
C7357,Periosteal Chondrosarcoma
C7343,Benign Skin Fibrohistiocytic Neoplasm
C7566,Sporadic Breast Carcinoma
C7603,Regressing Nevus
C4569,Malignant Myocardial Neoplasm
C45762,Metastatic Malignant Neoplasm in the Pericardium
C4570,Malignant Endocardial Neoplasm
C4614,Skin Papilloma
C4879,Benign Sweat Gland Neoplasm
C4880,Benign Bone Neoplasm
C6524,Benign Lymphatic Vessel Neoplasm
C6475,Clear Cell Chondrosarcoma
C6372,Vaginal Rhabdomyoma
C6414,Bladder Paraganglioma
C7826,Localized Parathyroid Gland Carcinoma
C7903,Recurrent Skin Carcinoma
C7753,Malignant Pericarditis
C8525,Benign Sebaceous Neoplasm
C92647,Malignant Peripheral Nerve Sheath Tumor with Mesenchymal Differentiation
C8971,Embryonal Rhabdomyosarcoma
C9152,Low-CSD Melanoma
C9030,High Grade Malignant Peripheral Nerve Sheath Tumor
C94770,Multifocal Breast Carcinoma
C94772,Multicentric Breast Carcinoma
C121871,"Chondrosarcoma, Grade 3"
