Code	Preferred Term
C156122	Thyroid Gland Follicular Carcinoma, Encapsulated Angioinvasive
C153622	Recurrent Thyroid Gland Follicular Carcinoma
C4946	Thyroid Gland Oncocytic Carcinoma
C46096	Thyroid Gland Follicular Carcinoma, Clear Cell Variant
C65200	Thyroid Gland Follicular Carcinoma, Minimally Invasive
C156123	Thyroid Gland Follicular Carcinoma, Widely Invasive
C156099	Metastatic Thyroid Gland Follicular Carcinoma
C165609	Refractory Thyroid Gland Follicular Carcinoma
C140987	Thyroid Gland Follicular Carcinoma by AJCC v8 Stage
C187643	Thyroid Gland Follicular Carcinoma, Signet Ring Cell Variant
C140958	Thyroid Gland Follicular Carcinoma by AJCC v7 Stage
C123904	Childhood Thyroid Gland Follicular Carcinoma
C176010	Encapsulated Breast Papillary Carcinoma with Invasion
C66865	Parotid Gland Warthin Tumor
C175291	Lacrimal Gland Warthin Tumor
C187261	Thyroid Gland Follicular Adenoma with Papillary Architecture
C46118	Thyroid Gland Lipoadenoma
C46123	Thyroid Gland Follicular Adenoma with Bizarre Nuclei
C46119	Thyroid Gland Clear Cell Follicular Adenoma
C46115	Thyroid Gland Signet Ring Cell Follicular Adenoma
C4161	Thyroid Gland Macrofollicular Adenoma
C155958	Thyroid Gland Black Follicular Adenoma
C155957	Thyroid Gland Spindle Cell Follicular Adenoma
C46116	Thyroid Gland Mucinous Follicular Adenoma
C6042	Thyroid Gland Oncocytic Adenoma
C46122	Thyroid Gland Hyperfunctioning Adenoma
C46111	Thyroid Gland Follicular Adenoma with Papillary Hyperplasia
C190060	Childhood Thyroid Gland Follicular Adenoma
C4160	Thyroid Gland Microfollicular Adenoma
C4207	Juvenile Granulosa Cell Tumor
C6563	Childhood Renal Neoplasm
C5053	Childhood Testicular Neoplasm
C190602	Childhood Benign Genitourinary System Neoplasm
C189286	Childhood Ovarian Neoplasm
C114801	Childhood Gonadal Germ Cell Tumor
C190613	Childhood Benign Head and Neck Neoplasm
C190152	Childhood Odontogenic Neoplasm
C5132	Childhood Central Nervous System Neoplasm
C188998	Childhood Granular Cell Tumor
C188951	Childhood Peripheral Nervous System Neoplasm
C190622	Childhood Benign Nervous System Neoplasm
C27368	Childhood Liver Neoplasm
C190076	Childhood Digestive System Neuroendocrine Tumor
C190580	Childhood Benign Digestive System Neoplasm
C190576	Childhood Benign Connective and Soft Tissue Neoplasm
C190620	Childhood Benign Thoracic Neoplasm
C6553	Childhood Benign Germ Cell Tumor
C190618	Childhood Benign Skin Neoplasm
C190574	Childhood Benign Breast Neoplasm
C190600	Childhood Benign Endocrine Neoplasm
C188975	Childhood Plexiform Fibrohistiocytic Tumor
C123838	Childhood Germinomatous Germ Cell Tumor
C6205	Childhood Central Nervous System Germ Cell Tumor
C68627	Childhood Extracranial Germ Cell Tumor
C123841	Childhood Nongerminomatous Germ Cell Tumor
C189340	Childhood Breast Phyllodes Tumor
C190075	Childhood Neuroendocrine Neoplasm
C190095	Childhood Lung Neoplasm
C5429	Childhood Mediastinal Neurogenic Neoplasm
C82596	Refractory Cytopenia of Childhood
C198662	Noonan Syndrome-Associated Myeloproliferative Disorder
C114483	Childhood Langerhans Cell Histiocytosis
C80373	EBV-Positive T-Cell/NK-Cell Lymphoproliferative Disorder of Childhood
C8264	Childhood Meningioma
C188979	Childhood Pseudomyogenic Hemangioendothelioma
C188976	Childhood Tenosynovial Giant Cell Tumor
C189015	Childhood Bone Neoplasm
C188999	Childhood Angiomatoid Fibrous Histiocytoma
C99180	Lipofibromatosis
C188977	Childhood Kaposiform Hemangioendothelioma
C142823	Congenital Peribronchial Myofibroblastic Tumor
C188982	Childhood EBV-Associated Smooth Muscle Tumor
C188964	Childhood NTRK-Rearranged Spindle Cell Neoplasm
C188978	Childhood Papillary Intralymphatic Angioendothelioma
C189001	Childhood Myoepithelial Tumor
C123906	Childhood Gastrointestinal Stromal Tumor
C188972	Childhood Inflammatory Myofibroblastic Tumor
C189000	Childhood PEComa
C115195	Childhood Mixed Glioma
C115250	Adult Mixed Glioma
C8271	Mixed Astrocytoma-Ependymoma
C8272	Mixed Astrocytoma-Ependymoma-Oligodendroglioma
C4050	Oligoastrocytoma
C43322	Benign Mixed Epithelial and Mesenchymal Hair Follicle Neoplasm
C8975	Malignant Mixed Mesodermal (Mullerian) Tumor
C3726	Adenomyoma
C8984	Female Reproductive System Adenofibroma
C181079	Hybrid Salivary Gland Carcinoma
C7322	Testicular Mixed Germ Cell-Sex Cord-Stromal Tumor
C3754	Gonadoblastoma
C7321	Ovarian Mixed Germ Cell-Sex Cord-Stromal Tumor
C7994	Parathyroid Gland Mixed Cell Type Adenoma
C4167	Adrenal Cortical Mixed Cell Adenoma
C139547	Fibroadenoma of Anogenital Mammary-Type Glands
C2977	Phyllodes Tumor
C39812	Metanephric Adenofibroma
C7281	Borderline Ovarian Seromucinous Tumor/Atypical Proliferative Ovarian Seromucinous Tumor
C6335	Benign Uterine Corpus Mixed Epithelial and Mesenchymal Neoplasm
C188217	Pancreatic Mixed Ductal Adenocarcinoma-Neuroendocrine Neoplasm
C95406	Digestive System Mixed Adenoneuroendocrine Carcinoma
C37264	Benign Kidney Mixed Epithelial and Stromal Tumor
C40409	Salivary Gland Pleomorphic Adenoma
C45603	Lung Pleomorphic Adenoma
C40408	Breast Pleomorphic Adenoma
C83174	Cellular Pleomorphic Adenoma
C4542	Lacrimal Gland Pleomorphic Adenoma
C35416	Mixed Tumor of the Parotid Gland
C40275	Benign Vaginal Mixed Epithelial and Mesenchymal Neoplasm
C40227	Benign Cervical Mixed Epithelial and Mesenchymal Neoplasm
C8099	Squamous Cell Carcinoma of Unknown Primary Origin
C4039	Adenocarcinoma of Unknown Primary
C9181	Recurrent Carcinoma of Unknown Primary
C8100	Undifferentiated Carcinoma of Unknown Primary
C170961	Resectable Carcinoma of Unknown Primary
C163975	Neuroendocrine Carcinoma of Unknown Primary
C170960	Advanced Carcinoma Of Unknown Primary
C162595	Head and Neck Carcinoma of Unknown Primary
C35701	Salivary Gland Epithelial-Myoepithelial Carcinoma
C45545	Lung Epithelial-Myoepithelial Carcinoma
C175288	Lacrimal Gland Epithelial-Myoepithelial Carcinoma
C4313	Ameloblastoma
C4306	Benign Odontogenic Neoplasm
C4812	Malignant Odontogenic Neoplasm
C81772	Disseminated Juvenile Xanthogranuloma
C150692	Tumors Derived from Langerhans Cells
C36075	Rosai-Dorfman-Destombes Disease
C200105	ALK-Positive Histiocytosis
C173485	Head and Neck Histiocytic and Dendritic Cell Neoplasm
C53972	Erdheim-Chester Disease
C168980	Cutaneous Histiocytic and Dendritic Cell Neoplasm
C81767	Indeterminate Dendritic Cell Histiocytosis
C200513	Mature Plasmacytoid Dendritic Cell Proliferation Associated with Myeloid Neoplasm
C7203	Blastic Plasmacytoid Dendritic Cell Neoplasm
C3451	Juvenile Xanthogranuloma
C92944	Central Nervous System Histiocytic and Dendritic Cell Neoplasm
C162733	Refractory Malignant Myoepithelioma
C142830	Lung Myoepithelial Carcinoma
C40395	Breast Malignant Myoepithelioma
C175274	Lacrimal Gland Myoepithelial Carcinoma
C35700	Salivary Gland Myoepithelial Carcinoma
C162732	Recurrent Malignant Myoepithelioma
C118826	Childhood Malignant Small Intestinal Neoplasm
C118821	Childhood Malignant Penile Neoplasm
C84269	Mastocytosis
C9303	Mastocytoma
C5962	Metastatic Lactotroph Pituitary Neuroendocrine Tumor
C5964	Metastatic Corticotroph Pituitary Neuroendocrine Tumor
C163956	Locally Advanced Pituitary Gland Carcinoma
C5965	Metastatic Thyrotroph Pituitary Neuroendocrine Tumor
C163959	Unresectable Pituitary Gland Carcinoma
C5963	Metastatic Somatotroph Pituitary Neuroendocrine Tumor
C157474	Recurrent Monomorphic Post-Transplant Lymphoproliferative Disorder
C157476	Recurrent Polymorphic Post-Transplant Lymphoproliferative Disorder
C162730	Recurrent Rhabdoid Tumor of the Kidney
C157733	Laryngeal Papillomatosis
C156103	Recurrent Blastic Plasmacytoid Dendritic Cell Neoplasm
C134175	Recurrent Langerhans Cell Histiocytosis
C188228	Recurrent Digestive System Neuroendocrine Neoplasm
C165253	Recurrent Neuroendocrine Carcinoma
C138183	Recurrent Abdominal Neuroendocrine Neoplasm
C157125	Recurrent Paraganglioma
C176711	Recurrent Lung Neuroendocrine Neoplasm
C115431	Recurrent Grade II Lymphomatoid Granulomatosis
C69144	Recurrent Grade III Lymphomatoid Granulomatosis
C115430	Recurrent Grade I Lymphomatoid Granulomatosis
C123393	Recurrent Childhood Lymphomatoid Granulomatosis
C182029	Recurrent Schwannoma
C192733	Recurrent Skull Base Carcinoma
C173916	Recurrent Metastatic Malignant Neoplasm in the Leptomeninges
C71700	Recurrent Primary Central Nervous System Neoplasm
C8823	Recurrent Malignant Peripheral Nerve Sheath Tumor
C4135	Multiple Adenomatous Polyps
C6856	Cervical Microglandular Polyp
C96478	Colorectal Adenomatous Polyp
C7720	Gallbladder Adenoma
C164253	Gastrointestinal Tract Adenoma, Intestinal-Type
C170924	Metastatic Carcinosarcoma
C3580	Metastatic Malignant Neoplasm to the Bone
C156101	Metastatic Neuroblastoma
C35933	Distantly Metastatic Malignant Neoplasm
C166181	Metastatic Primary Malignant Central Nervous System Neoplasm
C8524	Locally Advanced Malignant Neoplasm
C146858	Metastatic Epithelioid Hemangioendothelioma
C8610	Metastatic Malignant Neoplasm in the Adrenal Gland
C114831	Metastatic Malignant Neoplasm to Soft Tissues
C9270	Advanced Malignant Neoplasm
C156793	Metastatic Human Papillomavirus-Related Malignant Neoplasm
C4887	Metastatic Malignant Neoplasm in the Trachea
C8566	Metastatic Malignant Neoplasm of Unknown Primary Origin
C155852	Metastatic Malignant Pancreatic Neoplasm
C175662	Metastatic Malignant Glomus Tumor
C3482	Metastatic Carcinoma
C156485	Metastatic Neuroendocrine Neoplasm
C150597	Metastatic Malignant Neoplasm in the Viscera
C27470	Disseminated Malignant Neoplasm
C153323	Metastatic Chordoma
C35759	Metastasizing Pleomorphic Adenoma of the Salivary Gland
C40173	Uterine Corpus Metastasizing Leiomyoma
C175223	Eye Melanocytoma
C3623	Benign Corneal Neoplasm
C3624	Benign Retinal Neoplasm
C4354	Benign Eyelid Neoplasm
C92182	Intraocular Schwannoma
C6104	Benign Uveal Neoplasm
C3622	Benign Conjunctival Neoplasm
C175307	Benign Lacrimal System Neoplasm
C67107	Benign Teratoma
C6751	Benign Extragonadal Germ Cell Tumor
C4516	Benign Ovarian Germ Cell Tumor
C7354	Peritoneal Adenomatoid Tumor
C27250	Uterine Corpus Adenomatoid Tumor
C4499	Pleural Adenomatoid Tumor
C48319	Adrenal Cortical Adenomatoid Tumor
C126331	Ovarian Adenomatoid Tumor
C40129	Fallopian Tube Adenomatoid Tumor
C162476	Paratesticular Adenomatoid Tumor
C121681	Solitary Circumscribed Neuroma
C3272	Neurofibroma
C4973	Perineurioma
C5431	Lipomatosis of Nerve
C3049	Ganglioneuroma
C193416	Benign Cranial Nerve Neoplasm
C3252	Benign Granular Cell Tumor
C7018	Nerve Sheath Myxoma
C27507	Hemangioma of Peripheral Nerve
C3269	Schwannoma
C188049	Benign Central Nervous System Neoplasm
C8541	Splenic Hemangioma
C200524	Littoral Cell Angioma
C200533	Sclerosing Angiomatoid Nodular Transformation of Spleen
C7341	Benign Epithelial Skin Neoplasm
C8961	Fundic Gland Polyp
C4510	Benign Ovarian Epithelial Tumor
C4795	Prostate Adenoma
C40301	Adenoma of Minor Vestibular Glands
C4742	Benign Squamous Cell Neoplasm
C40018	Rete Ovarii Adenoma
C40382	Breast Adenoma
C157748	Metanephric Tumor
C40299	Bartholin Gland Adenoma
C5978	Salivary Gland Myoepithelioma
C5913	Oral Cavity Adenoma
C3686	Salivary Gland Monomorphic Adenoma
C4455	Lung Adenoma
C40300	Bartholin Gland Adenomyoma
C4526	Kidney Oncocytoma
C95470	Pancreatic Serous Adenoma
C4192	Nipple Adenoma
C4600	Benign Salivary Gland Neoplasm
C173095	Benign Sinonasal Neoplasm
C3620	Benign Orbit Neoplasm
C202624	Benign Head and Neck Soft Tissue Neoplasm
C54661	Head and Neck Nevus
C202975	Head and Neck Dermoid Cyst
C4884	Benign Neck Neoplasm
C202967	Head and Neck Juvenile Xanthogranuloma
C155792	Benign Skull Neoplasm
C8417	Benign Ear Neoplasm
C7608	Benign Oral Neoplasm
C7138	Solitary Mastocytoma of the Skin
C7158	Benign Dermal Neoplasm
C4632	Skin Dermoid Cyst
C4615	Benign Skin Appendage Neoplasm
C3615	Benign Scrotal Neoplasm
C202966	Cutaneous Juvenile Xanthogranuloma
C7571	Benign Skin Melanocytic Nevus
C27514	Cutaneous Adult Xanthogranuloma
C4481	Cutaneous Ganglioneuroma
C4454	Benign Lung Neoplasm
C8529	Benign Chest Wall Neoplasm
C35750	Benign Axillary Neoplasm
C3605	Benign Cardiac Neoplasm
C8536	Benign Pericardial Neoplasm
C3603	Benign Pleural Neoplasm
C3604	Benign Mediastinal Neoplasm
C166356	Benign Musculoskeletal Neoplasm
C4242	Benign Soft Tissue Neoplasm
C4502	Benign Lipomatous Neoplasm
C8592	Benign Chondrogenic Neoplasm
C6490	Benign Fibrohistiocytic Neoplasm
C6529	Benign Pericytic Neoplasm
C7389	Benign Vascular Neoplasm
C121788	Benign Phosphaturic Mesenchymal Tumor
C6602	Benign Osteogenic Neoplasm
C3863	Breast Intraductal Papilloma
C5197	Benign Nipple Neoplasm
C54658	Breast Nevus
C176414	Breast Schwannoma
C5144	Benign Breast Adenomyoepithelioma
C3848	Benign Female Breast Neoplasm
C4620	Benign Male Breast Neoplasm
C40397	Breast Myofibroblastoma
C5193	Breast Spiradenoma
C5353	Breast Hemangioma
C4647	Breast Lipoma
C5196	Benign Breast Phyllodes Tumor
C40381	Breast Angiomatosis
C40399	Breast Leiomyoma
C176253	Breast Nodular Fasciitis
C176415	Breast Neurofibroma
C4612	Benign Pancreatic Neoplasm
C3599	Benign Gastric Neoplasm
C4440	Gallbladder Benign Neoplasm
C7741	Digestive System Hemangioma
C4776	Benign Extrahepatic Bile Duct Neoplasm
C36207	Digestive System Adenoma
C190592	Benign Liver Neoplasm
C4611	Benign Anal Neoplasm
C4609	Benign Intestinal Neoplasm
C3598	Benign Esophageal Neoplasm
C4773	Benign Appendix Neoplasm
C181906	Benign Vulvar Phyllodes Tumor
C5532	Benign Prostate Phyllodes Tumor
C3602	Benign Tracheal Neoplasm
C8612	Benign Peritoneal Neoplasm
C4447	Benign Retroperitoneal Neoplasm
C4893	Benign Urinary System Neoplasm
C7617	Benign Reproductive System Neoplasm
C170830	Recurrent Extracranial Malignant Solid Neoplasm
C157334	Metastatic Extracranial Malignant Solid Neoplasm
C178283	Refractory Extracranial Malignant Solid Neoplasm
C121925	Intermediate Osteogenic Neoplasm
C6514	Skeletal Muscle Neoplasm
C4882	Benign Muscle Neoplasm
C3751	Smooth Muscle Neoplasm
C121789	Malignant Phosphaturic Mesenchymal Tumor
C202880	Appendicular Skeleton Phosphaturic Mesenchymal Tumor
C8384	Endometrioid Stromal and Related Neoplasms
C6926	Stromal Sarcoma
C200520	Stroma-Derived Neoplasm of Lymphoid Tissues
C39904	Tumor of Specialized Prostatic Stroma
C3868	Gastrointestinal Stromal Tumor
C175494	Conjunctival Stromal Tumor
C5566	Skin Lipomatous Neoplasm
C7630	Intermediate Lipomatous Neoplasm
C121846	Intermediate Chondrogenic Neoplasm
C50401	Myopericytoma
C3060	Glomus Tumor
C6491	Intermediate Fibrohistiocytic Neoplasm
C7749	Skin Fibrohistiocytic Neoplasm
C3230	Meningioma
C5308	Ectopic Meningioma
C4634	Skin Fibroblastic Neoplasm
C7147	Benign Fibroblastic Neoplasm
C7333	Intermediate Fibroblastic Neoplasm
C7634	Solitary Fibrous Tumor
C3042	Fibromatosis
C3474	Granular Cell Tumor
C6970	Melanotic Schwannoma
C4747	Glioneuronal and Neuronal Tumors
C6965	Pineal Parenchymal Cell Neoplasm
C3059	Glioma
C7061	Retinal Cell Neoplasm
C5950	Basal Cell Adenoma
C8334	Squamous Cell Intraepithelial Neoplasia
C5028	Verrucous Lesion
C40195	Cervical Squamous Neoplasm
C40283	Vulvar Squamous Neoplasm
C40242	Vaginal Squamous Neoplasm
C3411	Thymoma
C136320	Thymic Epithelial Neoplasm by AJCC v8 Stage
C45722	Combined Thymic Epithelial Neoplasm
C162460	Thymic Neuroendocrine Neoplasm
C4699	Gestational Trophoblastic Tumor
C39934	Testicular Trophoblastic Tumor
C3872	Ovarian Brenner Tumor
C179548	Ovarian Wolffian Tumor
C40026	Malignant Ovarian Epithelial Tumor
C4508	Ovarian Seromucinous Tumor
C6257	Ovarian Endometrioid Tumor
C5242	Ovarian Mucinous Tumor
C8431	Ovarian Serous Tumor
C40076	Ovarian Clear Cell Tumor
C5628	Metastatic Carcinoma in the Skin
C43311	Germinative Follicular Epithelium Neoplasm
C27881	Transitional Cell Intraepithelial Neoplasia
C39954	Brenner Tumor
C39852	Urothelial Neoplasm
C4115	Transitional Cell Papilloma
C53686	Atypical Choroid Plexus Papilloma
C4533	Malignant Choroid Plexus Neoplasm
C42080	Childhood Choroid Plexus Neoplasm
C8405	Benign Choroid Plexus Neoplasm
C8568	Adult Choroid Plexus Neoplasm
C179927	Uterine Ligament Wolffian Tumor
C158620	Endometrioid Tumor, Variant with Squamous Differentiation
C3769	Endometrioid Adenocarcinoma
C40111	Fallopian Tube Endometrioid Tumor
C192141	Paratesticular Endometrioid Tumor
C3782	Cervical Intraepithelial Neoplasia
C8367	Low Grade Intraepithelial Neoplasia
C7348	High Grade Intraepithelial Neoplasia
C27269	Glandular Cell Intraepithelial Neoplasia
C4521	Vaginal Intraepithelial Neoplasia
C133192	Oral Intraepithelial Neoplasia
C7436	Bronchial Intraepithelial Neoplasia
C164249	Differentiated Intraepithelial Neoplasia
C184295	Salivary Gland Adenoma
C40256	Vaginal Adenoma
C174550	Adenoma of the Retinal Pigment Epithelium
C4151	Clear Cell Adenoma
C3759	Oncocytic Adenoma
C7580	Skin Appendage Adenoma
C9003	Adrenal Cortical Adenoma
C4159	Lipoadenoma
C3329	Pituitary Neuroendocrine Tumor
C7559	Atypical Adenoma
C3685	Microcystic Adenoma
C3688	Trabecular Adenoma
C4196	Acinar Cell Adenoma
C191750	Villous Adenoma of the Urinary Tract
C8383	Kidney Adenoma
C156757	Parathyroid Gland Adenoma
C174560	Ciliary Body Adenoma
C7074	Serous Neoplasm
C95909	Preinvasive Neoplasm of the Ampullary Region
C95505	Pancreatic Intraductal Neoplasm
C6880	Glandular Papilloma
C4197	Acinar Cell Neoplasm
C40250	Vaginal Glandular Neoplasm
C7070	Mucinous Neoplasm
C7072	Oncocytic Neoplasm
C40210	Cervical Glandular Neoplasm
C40292	Vulvar Glandular Neoplasm
C162490	Paratesticular Paraganglioma
C39953	Paratesticular Brenner Tumor
C192129	Paratesticular Carcinoma
C192126	Paratesticular Mucinous Cystadenoma
C192123	Paratesticular Serous Cystadenoma
C8461	Tibial Adamantinoma
C49107	Giant Cell Tumor of Soft Tissue
C3402	Tenosynovial Giant Cell Tumor
C165522	BAP1-Inactivated Skin Melanocytic Tumor
C3694	Dysplastic Nevus
C136825	Spitz Melanocytoma
C165498	Pigmented Epithelioid Melanocytoma
C37258	Paraganglioma-Like Dermal Melanocytic Tumor
C40329	Vulvar Melanoma
C128289	Vulvar Melanocytic Nevus
C5505	Central Nervous System Melanoma
C4661	Primary Meningeal Melanocytic Neoplasm
C3901	Compound Nevus
C174502	Uveal Nevus
C186731	Oral Melanocytic Nevus
C7578	Nevus of Female Genitalia
C4231	Junctional Nevus
C4551	Conjunctival Nevus
C4662	Meningeal Melanocytoma
C192121	Paratesticular Well Differentiated Papillary Mesothelial Tumor
C45660	Pleural Well Differentiated Papillary Mesothelial Tumor
C45661	Peritoneal Well Differentiated Papillary Mesothelial Tumor
C183134	Pleural Mesothelioma In Situ
C8106	Ovarian Dysgerminoma
C7009	Germinoma
C128055	Cervical Yolk Sac Tumor
C128295	Vulvar Yolk Sac Tumor
C9013	Adult Teratoma
C6285	Adult Central Nervous System Germ Cell Tumor
C27241	Adult Yolk Sac Tumor
C100093	Central Nervous System Nongerminomatous Germ Cell Tumor
C8885	Malignant Extragonadal Non-Seminomatous Germ Cell Tumor
C191408	Refractory Malignant Nongerminomatous Germ Cell Tumor
C9313	Testicular Non-Seminomatous Germ Cell Tumor
C177770	Metastatic Malignant Nongerminomatous Germ Cell Tumor
C102870	Ovarian Non-Dysgerminomatous Germ Cell Tumor
C3403	Teratoma
C177771	Recurrent Malignant Nongerminomatous Germ Cell Tumor
C40131	Fallopian Tube Teratoma
C162139	Regressed Testicular Germ Cell Tumor
C115211	Familial Testicular Germ Cell Tumor
C6552	Childhood Testicular Germ Cell Tumor
C39915	Testicular Pure Germ Cell Tumor
C8588	Childhood Ovarian Germ Cell Tumor
C8110	Ovarian Teratoma
C6379	Vaginal Yolk Sac Tumor
C128113	Vaginal Dermoid Cyst
C45761	Pericardial Germ Cell Tumor
C5461	Central Nervous System Germ Cell Tumor
C159227	Kidney Germ Cell Tumor
C45636	Lung Germ Cell Tumor
C6448	Gastric Germ Cell Tumor
C147005	Cardiac Germ Cell Tumor
C6447	Retroperitoneal Germ Cell Tumor
C189045	Extragonadal Teratoma
C127077	Uterine Corpus Germ Cell Tumor
C6437	Mediastinal Germ Cell Tumor
C96849	Liver Germ Cell Tumor
C198593	Myeloid Neoplasm with Mutated TP53
C198663	Pediatric and/or Germline Mutation-Associated Myeloid Disorders
C172132	Recurrent Myeloid Neoplasm
C172281	Refractory Myeloid Neoplasm
C172280	Refractory Malignant Lymphoid Neoplasm
C202953	Primary Head and Neck Mucosal CD30-Positive T-Cell Lymphoproliferative Disorder
C172133	Recurrent Malignant Lymphoid Neoplasm
C27695	EBV-Related Clonal Post-Transplant Lymphoproliferative Disorder
C7233	Monomorphic Post-Transplant Lymphoproliferative Disorder
C7243	Classic Hodgkin Lymphoma Post-Transplant Lymphoproliferative Disorder
C45249	Cutaneous Mature B-Cell Neoplasm
C45250	Cutaneous Mature T-Cell and NK-Cell Neoplasm
C7137	Cutaneous Mastocytosis
C27907	B-Cell Neoplasm
C27908	T-Cell and NK-Cell Neoplasm
C40970	Angiocentric Immunoproliferative Lesion
C9301	Central Nervous System Lymphoma
C186662	Central Nervous System Lymphomatoid Granulomatosis
C87797	Secondary Central Nervous System Lymphoma
C185037	Extramedullary Disease in Multiple Myeloma Involving the Central Nervous System
C5237	Ovarian Neuroendocrine Neoplasm
C5670	Lung Neuroendocrine Neoplasm
C5545	Prostate Neuroendocrine Neoplasm
C188218	Carcinoid Tumor
C3308	Paraganglioma
C128041	Cervical Neuroendocrine Neoplasm
C157743	Kidney Neuroendocrine Neoplasm
C126771	Uterine Corpus Neuroendocrine Neoplasm
C157758	Bladder Neuroendocrine Neoplasm
C3225	Multiple Endocrine Neoplasia Type 1
C188257	Multiple Endocrine Neoplasia Type 5
C157449	Multiple Endocrine Neoplasia Type 4
C123329	Multiple Endocrine Neoplasia Type 2
C176705	Functioning Lung Neuroendocrine Tumor
C8388	Functioning Pituitary Gland Adenoma
C45840	Functioning Pancreatic Neuroendocrine Tumor
C4348	Non-Functioning Pituitary Gland Tumor
C176706	Non-Functioning Lung Neuroendocrine Tumor
C45837	Non-Functioning Pancreatic Neuroendocrine Tumor
C48458	Non-Functioning Adrenal Cortical Adenoma
C140329	Metastatic Nonfunctional Well Differentiated Neuroendocrine Neoplasm
C40265	Vaginal Soft Tissue Neoplasm
C40179	Uterine Corpus Soft Tissue Neoplasm
C45612	Lung Soft Tissue Neoplasm
C161045	Prostate Soft Tissue Neoplasm
C40392	Myoepithelial Tumor
C162492	Paratesticular Soft Tissue Neoplasm
C158636	Bladder Soft Tissue Neoplasm
C8964	Synovial Neoplasm
C161637	Seminal Vesicle Soft Tissue Neoplasm
C40126	Fallopian Tube Soft Tissue Neoplasm
C40316	Vulvar Soft Tissue Neoplasm
C40216	Cervical Soft Tissue Neoplasm
C6570	Extraskeletal Cartilaginous and Osseous Neoplasm
C5244	Ovarian Soft Tissue Neoplasm
C5449	Central Nervous System Mesenchymal, Non-Meningothelial Neoplasm
C7148	Soft Tissue Tumor of Uncertain Differentiation
C162574	Penile Soft Tissue Neoplasm
C6637	Mediastinal Soft Tissue Neoplasm
C7653	Intermediate Soft Tissue Neoplasm
C9343	Bone Neoplasm
C175316	Lacrimal Drainage System Neoplasm
C4360	Lacrimal Gland Neoplasm
C100054	Conjunctival Melanocytic Intraepithelial Neoplasia
C176043	Ocular Surface Squamous Neoplasia
C3142	Iris Neoplasm
C4364	Ciliary Body Neoplasm
C2949	Choroid Neoplasm
C174539	Retinal Astrocytoma
C6093	Corneal Squamous Intraepithelial Neoplasia
C4651	Pericardial Neoplasm
C45753	Cardiac Inflammatory Myofibroblastic Tumor
C5349	Myocardial Neoplasm
C5347	Epicardial Neoplasm
C6410	Cardiac Paraganglioma
C5346	Endocardial Neoplasm
C5668	Lung Meningioma
C60310	Lung Mature B-Cell Neoplasm
C27710	Pulmonary Sulcus Neoplasm
C5671	Lung Hilum Neoplasm
C45638	Intrapulmonary Thymoma
C5665	Atypical Adenomatous Lung Hyperplasia
C142833	Pulmonary Langerhans Cell Histiocytosis
C4458	Benign Thymus Neoplasm
C95044	Thymus Solitary Fibrous Tumor
C6713	Chest Wall Fibromatosis
C6720	Chest Wall Parachordoma
C6721	Chest Wall Plexiform Fibrohistiocytic Tumor
C6730	Sternal Neoplasm
C35748	Metastatic Malignant Neoplasm in the Axilla
C45639	Mediastinal Thymoma
C6624	Mediastinal Neurogenic Neoplasm
C6601	Mediastinal Granular Cell Tumor
C6413	Metastatic Intrathoracic Paravertebral Paraganglioma
C4457	Pleural Solitary Fibrous Tumor
C4370	Skin Lymphangioleiomyomatosis
C4480	Skin Smooth Muscle Neoplasm
C5277	Primary Cutaneous Meningioma
C4491	Skin Glomus Tumor
C5354	Skin Vascular Neoplasm
C4479	Cutaneous Neural Neoplasm
C3398	Sweat Gland Neoplasm
C40303	Vulvar Neoplasm of Skin Appendage Origin
C7367	Hair Follicle Neoplasm
C3363	Sebaceous Gland Neoplasm
C172637	Primitive Non-Neural Granular Cell Tumor
C156283	Scrotal Sarcoma
C43313	Pilar-Associated Mesenchyme Neoplasm
C6578	Skin Myxoma
C5585	Skin Sarcoma
C54183	Breast Columnar Cell Hyperplasia
C5195	Breast Atypical Hyperplasia
C9492	Breast Ductal Hyperplasia
C3744	Breast Fibroadenoma
C7575	Breast Phyllodes Tumor
C175610	Breast Neuroendocrine Tumor
C175581	Breast Neuroendocrine Carcinoma
C156493	Metastatic Breast Neuroendocrine Neoplasm
C27942	Breast Intraductal Proliferative Lesion
C36090	Breast Intraductal Papillary Neoplasm
C5209	Breast Vascular Neoplasm
C40398	Breast Inflammatory Myofibroblastic Tumor
C40400	Breast Granular Cell Tumor
C40389	Breast Myoepithelial Tumor
C4018	Breast Lobular Carcinoma In Situ|Lobular Breast Carcinoma In Situ
C4730	Atypical Lobular Breast Hyperplasia
C54181	Columnar Cell Change of the Breast
C9134	Papillary Breast Carcinoma
C5479	Cauda Equina Neoplasm
C5131	Adult Central Nervous System Neoplasm
C102871	Primary Central Nervous System Neoplasm
C3229	Meningeal Neoplasm
C4953	Intracranial Neoplasm
C5502	Benign Peripheral Nerve Granular Cell Tumor
C5822	Nerve Plexus Neoplasm
C5112	Autonomic Nervous System Neoplasm
C6911	Intraneural Perineurioma
C41430	Peripheral Nerve Schwannoma
C5121	Olfactory Nerve Neoplasm
C5120	Vestibulocochlear Nerve Neoplasm
C5827	Facial Nerve Neoplasm
C4801	Optic Nerve Neoplasm
C5825	Trochlear Nerve Neoplasm
C5828	Glossopharyngeal Nerve Neoplasm
C5829	Accessory Nerve Neoplasm
